,summary,description,neighborhood_overview,availability_30,availability_60,availability_90,availability_365,price,cleaning_fee,security_deposit,accommodates,bedrooms,bathrooms,property_type,room_type,latitude,longitude,zipcode,price_bin,Log_Price,areas,Reservations_In_Next_90_Days,types,nlp_topic
2,"This room is in the basement.  It does not have  its own entrance, but is fairly private.      Please read the full room description (water bed, hearing footsteps above.)  I want my guests to be happy and have no surprises.","This room is in the basement.  It does not have  its own entrance, but is fairly private.      Please read the full room description (water bed, hearing footsteps above.)  I want my guests to be happy and have no surprises. This is a basement room.  You can sometimes hear when people are walking around up above.  It has a super-single-sized water bed.  It's 48"" wide x 80"" long.  48"" wide is 9 inches wider than a single bed, and 6 inches narrower than a double.   80"" long is the same as a queen-size bed)  I think it only accommodates one person, but people ask all the time to put two in there, so I allow it.  You must be very friendly to both sleep in that bed together.  Clean and nice bathroom is next door. Of course I provide soap, clean towels and probably will have anything else you might have forgotten or not wanted to pack so you can just have carry-on luggage.  Many empty drawers and  a fair amount of closet space available. You may make yourself at home in kitchen and other publ",0,26,56,86,175,44,10,0,2,1,1.0,House,Private room,39.75438,-104.91156000000001,80207,under_100,1.6434526764861899,east,4,1,2
29,"NOT 420 friendly.  Our private ground level suite with 2 bedrooms, 1 bath, coffee bar and a living room area is roomy, comfortable and clean.  We live upstairs and rent the finished basement.  Common areas include the back door, back yard and laundry room.  We offer a light continental breakfast with a choice between a homemade scone or a bowl of fruit with yogurt and granola.  Our house is in an upscale neighborhood, convenient location close to public transportation and off-street parking.","NOT 420 friendly.  Our private ground level suite with 2 bedrooms, 1 bath, coffee bar and a living room area is roomy, comfortable and clean.  We live upstairs and rent the finished basement.  Common areas include the back door, back yard and laundry room.  We offer a light continental breakfast with a choice between a homemade scone or a bowl of fruit with yogurt and granola.  Our house is in an upscale neighborhood, convenient location close to public transportation and off-street parking. Our warm and private lower level suite includes two bedrooms (queen beds - one memory foam, one pillow-top), a bathroom with a shower, living room area with a gas fireplace, 32"" TV, hot/cold water dispenser, coffee pot, electric tea pot, induction burner, egg cooker, mini fridge and microwave.  Separated from the main level of the house with a hallway, door, and shared laundry space.  We cannot allow guests to lock the entry door when they are not there because our furnace is behind the couch and w","Our neighborhood is upscale.  We live near the 17th Avenue parkway with mansions and lovely gardens.  A 1/2 mile away on East Colfax are entertainment venues, ethnic food, urban shopping and coffee houses. Its a 20 minute ride to downtown Denver where there is an array of urban excursions to be had.",27,48,78,350,78,20,150,4,2,1.0,Guest suite,Entire home/apt,39.74156,-104.91633,80220,under_100,1.8920946026904801,east,12,3,0
30,"The bedrooms are located in the back of the house one to the left of the bathroom, one to the right. Both rooms have a king size bed.","The bedrooms are located in the back of the house one to the left of the bathroom, one to the right. Both rooms have a king size bed. Park Hill neighborhood is a highly regarded enclave of Denver.  This home has two guest bedrooms located on the main floor, back of the house.  One comfortable king size bed, dresser, mirror, side tables with reading lamps, two windows and a closet with built in shelving. The bed frame is high allowing storage under it. (if you are traveling with ski equipment, large suitcases ++). The other king size bed, dresser, side tables with reading lamps, two windows. Bathroom separates the bedrooms. Shared kitchen if you like to cook, living space including gas fire place. Plenty of free street parking. Close to City Park, Museum of Nature & Science, Zoo, public golf course, coffee house, market, Italian restaurant ++. Conveniently located to the Convention Center, downtown. Main bus route takes you there within 15-20 minutes. Denver International Airport - RTD",0,25,55,84,84,170,30,0,4,2,1.0,House,Private room,39.75006,-104.93265,80207,100_200,2.23044892137827,east,6,1,0
31,"A cozy room on the first floor of our Baker bungalow. A 5-10 minute stroll to shops, restaurants, coffee shops and more! Light rail and bus connections are also both less than a 5 minute walk away. Close to downtown, Cherry Creek and I-25. STR License # 2017-BFN-(PHONE NUMBER HIDDEN)","A cozy room on the first floor of our Baker bungalow. A 5-10 minute stroll to shops, restaurants, coffee shops and more! Light rail and bus connections are also both less than a 5 minute walk away. Close to downtown, Cherry Creek and I-25. STR License # 2017-BFN-(PHONE NUMBER HIDDEN) Our guest room is a cozy, bright room with a full size bed (please note the bed is ~not~ a Queen, but a FULL/DOUBLE and sleeps two cozily) on the ground floor of a 3 bedroom house in the beautiful historic district of Baker.  Adjacent to the room is a full private bathroom with tub and shower. Guests also have access to spacious kitchen and sunny backyard. There is a large, well-equipped kitchen that you're welcome to use (please clean up after yourself - thank you!)  Our house is in the hip Baker/South Broadway area where you can find lots of fun, quirky shops (antique stores, second hand clothing, boutiques) and restaurants (Thai, pizza, tapas, Latin American, sushi, coffee shops, ice cream, craft brewer","Walkability, accessibility to downtown, light rail, restaurants, shops...",29,59,89,178,75,15,0,2,1,1.0,House,Private room,39.716609999999996,-104.99618000000001,80223,under_100,1.8750612633917,south,1,1,4
38,"Family-friendly, very spacious, 2br guest quarters with separate entrance, patio & large organic garden. Quiet & safe corner of SE Denver, close to a variety of fine restaurants, shops and groceries. Near to light rail(that takes you downtown) & bus stops & 15 min. to downtown by car. Art work, antiques, books, history, character and lots of special touches + a beautiful garden will surely bring a special flavor to your stay :)","Family-friendly, very spacious, 2br guest quarters with separate entrance, patio & large organic garden. Quiet & safe corner of SE Denver, close to a variety of fine restaurants, shops and groceries. Near to light rail(that takes you downtown) & bus stops & 15 min. to downtown by car. Art work, antiques, books, history, character and lots of special touches + a beautiful garden will surely bring a special flavor to your stay :) The guest quarters consist of a 950 sq. ft. and fully-furnished lower level with 2 spacious bedrooms with garment racks and dresser space, bathroom with large walk-in shower, comfortable, well-outfitted kitchenette(full description below) with eating area.  The large living room has a wood fireplace, a brand new HD TV set with Roku and a good selection of local channels + a DVD player with large selection of movies, and a huge variety of wonderful books in our extensive library in the north end of the guest living room area. Common areas include the laundry (was",Our neighborhood is super safe and quiet with no through traffic.  We've known most of our neighbors for over 30 years and we all love living here because it has such a pleasant atmosphere and is one of the safest neighborhoods in town.,24,52,82,171,74,59,0,6,2,1.0,House,Entire home/apt,39.67548,-104.92997,80222,under_100,1.86923171973098,southeast,8,1,0
41,"Stay in a newly updated, efficiently laid-out loft & studio in a 2-unit 1923 Denver Bungalow 5 mins to downtown by car. Sleeps 4 comfortably & 6 with a little creative floor-sleeping, this 600 square foot unit is spread over three floors of the house. The unit has a private entrance in the back, lofted attic sleeping and lounging area with a queen-sized memory foam mattress, a new bathroom, a kitchenette that turns a small space into a utilitarian dream, & a basement studio that sleeps 2-4 more.","Stay in a newly updated, efficiently laid-out loft & studio in a 2-unit 1923 Denver Bungalow 5 mins to downtown by car. Sleeps 4 comfortably & 6 with a little creative floor-sleeping, this 600 square foot unit is spread over three floors of the house. The unit has a private entrance in the back, lofted attic sleeping and lounging area with a queen-sized memory foam mattress, a new bathroom, a kitchenette that turns a small space into a utilitarian dream, & a basement studio that sleeps 2-4 more. This place has character.  I built it that way.  I recently renovated my house to turn it into two units.  You get the second unit which is, basically, a really efficient use of space divided between three floors.  It includes two beds (a memory foam mattress in the loft and a quality --seriously, it's not a cheapo --futon in the basement studio.  TEN THINGS YOU SHOULD KNOW ABOUT THIS HOUSE: 1. THE UNIT HAS A PRIVATE ENTRANCE.  THE SPACE IS ALL YOURS.  Yes.    We'll meet you with the keys, give","The main thoroughfares around the house are home to some of Denver's most amazing international fare, including Vietnamese, Mexican, Thai, and Chinese.  It's what I love about being at home and what I hope you will enjoy, too.  The houses in the area are mostly quaint, single-family houses of about 1-3 bedrooms.  There is a small park with a playground about a block away and a larger park with a pool and pond and rolling hills for sledding (in the winter) within about a half mile.  Mile High Stadium is  about nineteen blocks away, and you have easy access to highways that cut north-south and east-west within a few blocks of the house.",30,60,90,90,128,65,300,6,2,1.0,Guest suite,Entire home/apt,39.71703,-105.03896,80219,100_200,2.10720996964787,south,0,3,0
47,Quiet Congress Park Cottage with great deck and within walking distance of trendy Colfax and upscale Cherry Creek. House was built in 1914 and sits back from street so is very quiet. Nice garden in  front and small lawn adjacent to house. Neighborhood is filled with WW I era craftsman cottages. 2 Parks within walking distance (City and Congress).,"Quiet Congress Park Cottage with great deck and within walking distance of trendy Colfax and upscale Cherry Creek. House was built in 1914 and sits back from street so is very quiet. Nice garden in  front and small lawn adjacent to house. Neighborhood is filled with WW I era craftsman cottages. 2 Parks within walking distance (City and Congress). 2 Bedroom, one bath cottage set back from the street , and surrounded by trees. Built in 1914, this house has a 250 square foot deck, a large garden between the yard and the street and a fenced yard. The house has great light from skylights and windows. The house is located an easy walk from Cherry Creek  shopping district and if you look down the street at night you will see the historic Bluebird theater, a local music venue.",0,28,58,88,363,110,60,110,4,2,1.0,Bungalow,Entire home/apt,39.7322,-104.94899,80206,100_200,2.0413926851582302,central,2,8,4
52,"1 BR, 1BA. in one of Denver's coolest neighborhoods. Only a mile from downtown. Lots of art galleries, restaurants, a couple breweries. Not far from the light-rail, and main bus-lines a half-block away.  Piano, guitar and various instruments to play.","1 BR, 1BA. in one of Denver's coolest neighborhoods. Only a mile from downtown. Lots of art galleries, restaurants, a couple breweries. Not far from the light-rail, and main bus-lines a half-block away.  Piano, guitar and various instruments to play. My little home was completely re-done in 2011, and its a nice home. One large bedroom with piano, guitar and various instruments. Trampoline out back. One block from the heart of Denver's Santa Fe Arts District.  Its half a duplex, and the back yard is shared with the other half of the duplex. 1 BR, 1BA. in one of Denver's coolest neighborhoods. Only a mile from downtown. Lots of art galleries, restaurants, a couple breweries. Not far from the light-rail, and main bus-lines a half-block away. The house is very nice. King-sized bed. Nice Couch and TV (No cable... just rabbit-ears and DVD/Blu-Ray). The back yard has a nice garden, with plenty of edibles. You're welcome to make a salad or use veggies from the planters. The house is profession","Plenty of restaurants, bars and art galleries on Santa fe just 1 block away. Street parking is plentiful except for the first Friday of each month, when a large block party takes over the neighborhood from 5-9pm.",30,60,90,90,175,50,0,2,1,1.0,House,Entire home/apt,39.727709999999995,-104.99788000000001,80204,100_200,2.24303804868629,central,0,1,4
60,"I have a suite of rooms in a Victorian house in Capitol Hill one block from Cheesman Park.  The house is located 15 blocks from downtown Denver, approximately 1 1/2 miles from Cherry Creek, 4 blocks from St. Joseph's Hospital. One block from 2 major bus routes.","I have a suite of rooms in a Victorian house in Capitol Hill one block from Cheesman Park.  The house is located 15 blocks from downtown Denver, approximately 1 1/2 miles from Cherry Creek, 4 blocks from St. Joseph's Hospital. One block from 2 major bus routes. The house is a charming Victorian with a sunny southern exposure, hardwood floors throughout and a wood-burning fireplace.   The suite is furnished with: in the main room, a full size bed, 2 bedside tables, a desk and chair, a bookshelf, and in the closet for the room, a sink and commode. In the adjoining alcove are:  a large chest of drawers, an armchair, a small round table and 2 chairs, a sofa that folds out into a bed and a small walk-in closet with overhead light.  Many of my guests have commented that they like having a sink in the room. I have a second listing which could also be made available during peak times, or if there are  a number of you in your party. That listing is called Sweet and Sunny in Capitol Hill and has","The house is located in the heart of Capitol Hill.  The neighborhood was developed during the Victorian era, so the houses here are beautiful.  I love the old-growth trees and the lovingly tended gardens all throughout the neighborhood.  In addition, just about everything of interest in Denver is only minutes away, great restaurants and pubs, music venues, parks, libraries, museums and the Denver Botanic Garden.",30,60,90,364,62,0,0,3,1,1.0,House,Private room,39.73206,-104.96918000000001,80218,under_100,1.79239168949825,central,0,1,0
63,"Beautiful 2-story Bungalow in Platte Park, 5 blocks east of the S Pearl Street historic shopping district and 3 miles south of downtown (via car or RTD Lightrail train), 1.5 miles from Cherry Creek Shopping district, and an hour drive from mountains.","Beautiful 2-story Bungalow in Platte Park, 5 blocks east of the S Pearl Street historic shopping district and 3 miles south of downtown (via car or RTD Lightrail train), 1.5 miles from Cherry Creek Shopping district, and an hour drive from mountains. Beautiful 2-story Bungalow in Platte Park. We are located five blocks east of the South Pearl Street historic shopping district and 3 miles south of downtown (via car or RTD Lightrail train), 1.5 miles from the nationally acclaimed Cherry Creek Shopping district and four blocks south of Washington Park, the most popular park in Denver, a 165 acre park with 2 lakes, paddle boats, gravel running path, gardens, tennis courts, volleyball, etc! There are loads of restaurants, shopping boutiques, parks, playgrounds and a light rail station within walking distance. We are one hour from the popular mountain towns (like Breckenridge, Dillon, etc), and there are many mountain parks in the foothills for hiking and climbing. There is a bike path close","The Platt Park neighborhood is one of the most popular in Denver because of its cozy residential feel that also offers a fun main street (S. Pearl St.) with shops, restaurants, coffee bars and a weekly farmers' market.  We are close to light rail stations, Denver University and Wash Park.  It's hard to find a neighborhood that offers the safety and comfort of a quiet residential area while being so centrally located and boasting easy access to the highway and downtown.  We absolutely LOVE living here, and you will love it too!",30,60,90,365,275,150,500,10,5,2.5,House,Entire home/apt,39.68363,-104.97227,80210,200_or_more,2.4393326938302597,south,0,1,4
