,summary,description,neighborhood_overview,availability_30,availability_60,availability_90,availability_365,price,cleaning_fee,security_deposit,accommodates,bedrooms,bathrooms,property_type,room_type,latitude,longitude,zipcode,price_bin,Log_Price,areas,Reservations_In_Next_90_Days,types,nlp_topic
1,"Large guest room in my home, where I also live.  I have breakfast foods for nightly* guests to help themselves to. If 3 people share this room, one sleeps on the couch in the room. *as opposed to weekly or monthly.   Weekly and monthly guests are also welcome to help themselves to breakfast food their first of couple of days.","Large guest room in my home, where I also live.  I have breakfast foods for nightly* guests to help themselves to. If 3 people share this room, one sleeps on the couch in the room. *as opposed to weekly or monthly.   Weekly and monthly guests are also welcome to help themselves to breakfast food their first of couple of days. I have been enjoying welcoming many wonderful guests into my home for 10 years now with Airbnb (from 34 different countries so far.)  Please have a bit of info about yourself in your Airbnb profile. (Hover over the tiny picture of yourself in the very top, right corner and Edit Profile will be one of the options that pop up. Be sure to scroll down and hit the red SAVE button)  In this guest room there is a queen-sized bed, couch, wifi,  desk with computer you may use,  also some closet and drawer space.  Must share bathroom with me, (or use basement bath) but my time is now flexible since I retired!  There has never been an inconvenience yet with sharing the bathr",I love the diversity of my neighborhood and its proximity to shopping and restaurants.  I live on a beautiful parkway.,4,26,54,116,61,10,0,3,1,1.0,House,Private room,39.753609999999995,-104.91237,80207,under_100,1.78532983501077,east,36,1,2
2,"This room is in the basement.  It does not have  its own entrance, but is fairly private.      Please read the full room description (water bed, hearing footsteps above.)  I want my guests to be happy and have no surprises.","This room is in the basement.  It does not have  its own entrance, but is fairly private.      Please read the full room description (water bed, hearing footsteps above.)  I want my guests to be happy and have no surprises. This is a basement room.  You can sometimes hear when people are walking around up above.  It has a super-single-sized water bed.  It's 48"" wide x 80"" long.  48"" wide is 9 inches wider than a single bed, and 6 inches narrower than a double.   80"" long is the same as a queen-size bed)  I think it only accommodates one person, but people ask all the time to put two in there, so I allow it.  You must be very friendly to both sleep in that bed together.  Clean and nice bathroom is next door. Of course I provide soap, clean towels and probably will have anything else you might have forgotten or not wanted to pack so you can just have carry-on luggage.  Many empty drawers and  a fair amount of closet space available. You may make yourself at home in kitchen and other publ",0,26,56,86,175,44,10,0,2,1,1.0,House,Private room,39.75438,-104.91156000000001,80207,under_100,1.6434526764861899,east,4,1,2
3,"Great place for a few nights or months! Significant discounts for week or month+.  Ideal for traveling nurses, med students, or transitioning to Denver. Close to Denver Health Medical Center, downtown, professional sports venues and performing arts.  Cute 1890's neighborhood walkable to breweries, coffee shops, restaurants, shops and Mayan Theater on Broadway, and Santa Fe Arts District.   Easy access with major freeways/roads and RTD.  No pets in studio but my two dogs may be in the backyard.","Great place for a few nights or months! Significant discounts for week or month+.  Ideal for traveling nurses, med students, or transitioning to Denver. Close to Denver Health Medical Center, downtown, professional sports venues and performing arts.  Cute 1890's neighborhood walkable to breweries, coffee shops, restaurants, shops and Mayan Theater on Broadway, and Santa Fe Arts District.   Easy access with major freeways/roads and RTD.  No pets in studio but my two dogs may be in the backyard. This newly built, highly functional studio is equipped with full kitchen, including stove/oven, dishwasher, microwave, and refrigerator; and fully stocked with cooking and eating equipment. Significant cabinet and closet space.  Flooded with natural light.  It has everything you need for a comfortable stay for a few nights or a few months! For your convenience coffee, tea and paper products supplied to get you started but are not replenished throughout the stay. Guests may enjoy the courtyard if","Walking through the Baker historical neighborhood you will find a little bit of everything -- grand Victorian houses, quaint duplexes, small single-story homes, and newly-built condos.  It's an easy walk to restaurants, coffee shops, breweries, the shops and Mayan theater on Broadway, and the Santa Fe Arts District with gallery openings the first Friday of each month.",0,0,6,95,95,75,150,2,0,1.0,Guesthouse,Entire home/apt,39.719809999999995,-104.99649,80223,under_100,1.97772360528885,south,84,0,4
4,0,"Highland Park Guest House is located in central Denver’s popular West Highland residential neighborhood nearby streets with stores, restaurants, coffee shops, parks, and nightlife.  The residence is just half a block from public bus transportation providing quick and inexpensive access to other regional transportation systems and the 16th Street Mall in downtown Denver.  Accommodations consist of a 750 square foot completely new garden level one bedroom studio in a 1900‘s turn of the century bungalow.  The space includes a full wet bar (no stove top or oven) with a refrigerator, sink, and microwave oven.   Finishes include eco friendly materials such as bamboo and Marmoleum flooring and low VOC paints.  All linens and towels are organic and all cleaning products are nontoxic and earth friendly. Amenities include Off Street Parking, 24 Hour Keypad Access, Basic Cable Television with DVD Player and Netflix, Wireless Internet for Personal Laptops, In House Laundry.  Specific in unit Ameni",0,10,40,66,341,110,0,0,2,1,1.0,Guest suite,Entire home/apt,39.762159999999994,-105.02866000000002,80211,100_200,2.0413926851582302,northwest,24,3,4
5,"Come enjoy our oasis is the city and stay at one of the founding Airbnb rentals.   We love to enjoy the famous Colorado weather and believe in indoor & outdoor living.  We are located next to downtown and in the revitalized neighborhood of lower highlands - check out the Bug Theater!  Short walks to Superb coffee shops, restaurants & micro brews, dispensary & downtown.  We are 420 (outdoors only), LBGTQ friendly, fragrance free & kitty free. Chat with us about service dogs.","Come enjoy our oasis is the city and stay at one of the founding Airbnb rentals.   We love to enjoy the famous Colorado weather and believe in indoor & outdoor living.  We are located next to downtown and in the revitalized neighborhood of lower highlands - check out the Bug Theater!  Short walks to Superb coffee shops, restaurants & micro brews, dispensary & downtown.  We are 420 (outdoors only), LBGTQ friendly, fragrance free & kitty free. Chat with us about service dogs. LOCATION:  the cottage is located in the center of Lower Highlands (LOHI) next to the Navajo Street Arts District along with the Bug Theater. Check out the Bugs listing to see what's going on - plays/film/comedy nights.  no need to cab it because we are in the midst of it all. COTTAGE DESCRIPTION:  one bathroom with shower.  one bedroom with double bed with a tempur-pedic mattress and a fold down sofa.  small but full kitchen, with pot/pans/utensils.  we keep the basics for cooking in the cottage as well: coffee, te",those who are interested in our local brews - we are walking distance to three new breweries for as well as a short drive to several other breweries.  those who are interested in our local brews - we are walking distance to three new breweries for as well as a short drive to several other breweries.  **We are in an up and coming neighborhood & construction going on everywhere around us as well as all around in Denver we do have a few homes being built around us which are soon to be completed. Please be advised that there can be building sounds some times    there is some history behind the cottages -  they were built in the 1890's and used to belong to a horse and carriage business which shuttled workers down to Union Station. our neighborhood has always been a working class neighborhood starting with the Italians and then has welcomed many other waves of immigrants.   The Lower Highlands district is a thriving area due to the of  proximity and the number of attractions that you can wa,14,39,53,299,111,35,150,2,1,1.0,Cottage,Entire home/apt,39.765879999999996,-105.00545,80211,100_200,2.04532297878666,northwest,37,4,2
6,0,"Spend time in Denver's famous Park Hill neighborhood, in a comfortable  100 year-old house with all the amenities and comforts of home. 10 minutes to downtown, Cherry Creek, and less than 5 minutes to the zoo, the Denver Museum of Nature and Science, and City Park, with the best view of the mountains in Denver and free summer concerts.  Get a direct 20 minute bus to downtown on our corner. Block has a playground,  cafe,  cleaners, florist, bookstore,  restaurant and a speciality Italian deli. Ski areas approximately one hour away, with reduced rate lift-tickets available upon request.  2000 square feet house with rooms to spare. Four bedrooms, dining room, kitchen, living room, three bathrooms, and a TV room with cable and Roku tv.  Bedroom 1: 1 brand new King size bed, Bedroom 2: one single bed,  bedroom 3: one single bed, bedroom 4: 1 queen bed. There is also an additional cot available and a single futon for three people in the basement common room room.  Some children's equipment a",0,6,36,66,341,300,150,0,8,4,3.0,House,Entire home/apt,39.75322,-104.93335,80207,200_or_more,2.4771212547196604,east,24,1,0
7,"License #2017-BFN-(PHONE NUMBER HIDDEN).  You will enjoy this beautiful, friendly, historic district within blocks from dining and downtown Denver offerings!","License #2017-BFN-(PHONE NUMBER HIDDEN).  You will enjoy this beautiful, friendly, historic district within blocks from dining and downtown Denver offerings! I am offering my lovely 1895 vintage duplex.  It is located in an historic neighborhood within walking distance of downtown Denver - nightlife and restaurants in the Uptown Neighborhood are just blocks away.  The Convention Center and other downtown amenities are a short walk away.  Several bus lines and the light rail service serve various parts of Denver and are available within 2 blocks.  The home has 2 bedrooms with attached full baths.  The kitchen is large and updated with high-end appliances and granite tile countertops.  The fireplace and wood floors are original to the home.  The layout is typical of townhomes - lots of stairs.  There is a cozy den/office on the 3rd floor.  There is a comfy sectional sofa there that, with back cushions removed, serves as a single bed.  I have many books and movies to keep you entertained.","My close-in neighborhood is walkable to just about everything you will need.  Many of guests find that they don't need a car!  Grocery stores, liquor stores, bakeries, coffee shops and many options for dining are within a few blocks.  The downtown amenities are approximately a 20 minute walk from the property.",0,0,0,0,179,80,100,4,2,2.5,Townhouse,Entire home/apt,39.74947,-104.97611,80205,100_200,2.25285303097989,central,90,5,3
8,1000' entire-first-floor walking- bike-share and transit-friendly close-to-downtown Denver pad (part of a duplex) with a front porch and back-yard.,"1000' entire-first-floor walking- bike-share and transit-friendly close-to-downtown Denver pad (part of a duplex) with a front porch and back-yard. Hi! My place is  the entire first floor of an old house, built back when Denver was a small little city and you could get to where you were going to easily by foot. Know what? You still can! You can walk anywhere you need to from here. It's a 15 minute walk from downtown -- or 5 minutes, if you catch the #10 bus a block away (it comes every 15 minutes). Parking around here isn't ideal (translation: It can be brutal), sure, but you'll love the peace and quiet and of having this 1,000 square foot condo all to yourself (this place is BIG for places in the neighborhood). There's a neighbor in the coachhouse in the back (quiet, friendly), and a neighbor upstairs (quiet, Irish). You'll have full access to my awesome kitchen. There's laundry in the basement, all to yourself! It's free! A washer *and* a dryer! If you are skeptical of modern clothes",0,0,0,0,0,130,20,0,3,1,1.0,Apartment,Entire home/apt,39.73276,-104.98035,80203,100_200,2.11394335230684,central,90,2,4
10,"Locaton, location!   Come and share the ambiance in this beautifully restored 1887 Queen Anne.  This National Landmark home is only 9 blocks from Downtown.  Close to everything, very walkable and perfect for a new Denver visiter.","Locaton, location!   Come and share the ambiance in this beautifully restored 1887 Queen Anne.  This National Landmark home is only 9 blocks from Downtown.  Close to everything, very walkable and perfect for a new Denver visiter. Hi Folks!  Welcome to the “Osmyn Parker House”!      I have lovingly restored this large old 1887 Queen Anne and it has been featured in numerous newspaper articles as well as being the center piece for several annual Historic Denver house tours.  Being the sole resident of this grand old house, only 9 blocks from the center of the city, I love sharing  it with interesting travelers!!!     This beautiful home lies in the the heart of the San Rafael Historic district, one of Denver's greatest historic neighborhoods close to downtown, City Park, 17th Avenue Restaurant Row and so much more.  Relax outside on our beautiful and peaceful back patio or jump on a bike (the Denver B-Cycle station is only two blocks away!) and tour around Denver.  You are welcome to use",0,0,0,0,211,70,20,0,2,1,1.0,House,Private room,39.74927,-104.97482,80218,under_100,1.84509804001426,central,90,1,2
11,0,"Hi Folks!  Welcome to the “Osmyn Parker House”!      I have lovingly restored this old 1887 Queen Anne and it has been featured in numerous newspaper articles as well as being the center piece for several annual Historic Denver house tours.  Being the sole resident of this grand old house, only 9 blocks from the center of the city, I love sharing  it with interesting travelers!!!     This beautiful home lies in the the heart of the San Rafael Historic district, one of Denver's greatest historic neighborhoods close to downtown, City Park, 17th Avenue Restaurant Row and so much more.  Relax outside on our beautiful and peaceful back patio or jump on a bike (the Denver B-Cycle station is only two blocks away!) and tour around Denver.  You are welcome to use the kitchen, living and dining as well.      While things are very ""walkable"", there is also a bus stop just across the street or a cab ride to the convention center (center of downtown) is only $6-8 in inclement weather.    Since we a",0,0,0,0,211,60,20,0,1,1,0.0,House,Private room,39.74865,-104.97522,80205,under_100,1.7781512503836399,central,90,1,4
