,address,zipcode,city,state,latitude,longitude,amount
0,554 University Boulevard,80206,Denver,CO,39.725119,-104.959097,737676
1,2013 South Wolcott Court,80219,Denver,CO,39.680568,-105.049294,393641
2,1919 East 25th Avenue,80205,Denver,CO,39.753372,-104.964215,385049
3,12832 Elmendorf Place,80239,Denver,CO,39.791707,-104.840523,338672
4,1459 Monaco Parkway,,,,,,
5,2296 South Lowell Boulevard,80219,Denver,CO,39.675129,-105.034554,373172
6,2627 East 7th Avenue,80206,Denver,CO,39.727598,-104.955859,3110373
7,4415 Hooker Street,80211,Denver,CO,39.777213,-105.028783,720999
8,2531 Clarkson Street,80205,Denver,CO,39.75383,-104.977277,527530
9,213 Bannock Street,80223,Denver,CO,39.719694,-104.9912,776572
10,901 21st Street,,,,,,
11,7768 East 16th Avenue,,,,,,
12,910 Downing Street,80218,Denver,CO,39.730769,-104.972633,
13,1600 East 14th Avenue,,,,,,
14,350 Park Avenue West,,,,,,
15,3599 Beeler Court,,,,,,
16,3940 West 24th Avenue,80212,Denver,CO,39.75191,-105.039251,408976
17,2450 Curtis Street,,,,,,
18,6651 East 22nd Avenue,,,,,,
19,820 Harrison Street,80206,Denver,CO,39.729535,-104.941533,878223
20,2847 Ivanhoe Street,,,,,,
21,2740 Hazel Court,80211,Denver,CO,39.75668,-105.027289,1352752
22,2251 South Bannock Street,,,,,,
23,6116 East Warren Avenue,,,,,,
24,72 Albion Street,,,,,,
25,1167 South Taos Way,80223,Denver,CO,39.695267,-105.011818,313949
26,722 East 7th Avenue,80203,Denver,CO,39.727051,-104.978399,2126953
27,1423 Elizabeth Street,80206,Denver,CO,39.738891,-104.956582,724768
28,2009 Gaylord Street,80205,Denver,CO,39.747328,-104.961319,734834
29,4960 Pecos Street,,,,,,
30,1723 West 43rd Avenue,,,,,,
31,1648 Little Raven Street,80202,Denver,CO,39.755745,-105.003788,1643666
32,277 Broadway,80203,Denver,CO,39.72051,-104.988,316525
33,2488 Decatur Street,80211,Denver,CO,39.753457,-105.02187,679715
34,4091 West Conejos Place,80204,Denver,CO,39.741644,-105.040293,768959
35,1555 Winona Court,80204,Denver,CO,39.741321,-105.047795,572464
36,3921 West Colfax Avenue,,,,,,
37,888 Logan Street,80203,Denver,CO,39.729944,-104.982125,301256
38,4100 West Colfax Avenue,80204,Denver,CO,39.739981,-105.040762,
39,3161 Wyandot Street,80211,Denver,CO,39.76189,-105.014814,384224
40,2331 West 31st Avenue,,,,,,
41,903 East 1st Avenue,80206,Denver,CO,39.717697,-104.949439,
42,4348 Orleans Court,80249,Denver,CO,39.776234,-104.737383,285149
43,2547 West Colorado Avenue,,,,,,
44,643 Elizabeth Street,80206,Denver,CO,39.726381,-104.957019,722636
45,1636 Gilpin Street,80218,Denver,CO,39.742361,-104.966863,668811
46,2505 Federal Boulevard,,,,,,
47,534 West 4th Avenue,80223,Denver,CO,39.722256,-104.995036,469019
48,2800 Walnut Street,80205,Denver,CO,39.761276,-104.983078,
49,5389 West 10th Avenue,,,,,,
50,4370 Winona Court,80212,Denver,CO,39.776125,-105.04711,701645
51,3712 Yates Street,80212,Denver,CO,39.767703,-105.050563,847853
52,3302 Lafayette Street,80205,Denver,CO,39.763401,-104.970547,839717
53,3257 South Parker Road,80014,Denver,CO,39.657774,-104.849943,
54,3438 Vine Street,80205,Denver,CO,39.765259,-104.961862,478845
55,2940 West 25th Avenue,80211,Denver,CO,39.753408,-105.024549,399992
56,2485 Curtis Street,,,,,,
57,3857 Vallejo Street,80211,Denver,CO,39.77034,-105.013826,551397
58,3939 Jason Street,80211,Denver,CO,39.771273,-104.999739,621087
59,2530 Marion Street,80210,Denver,CO,39.670739,-104.971976,526635
60,740 Lipan Street,,,,,,
61,3961 Zenobia Street,80212,Denver,CO,39.772242,-105.052374,748752
62,1343 Detroit Street,80206,Denver,CO,39.737586,-104.954262,911645
63,1234 Columbine Street,80206,Denver,CO,39.735722,-104.957111,810125
64,5260 Troy Street,80239,Denver,CO,39.790627,-104.84135,352286
65,14 South Logan Street,80209,Denver,CO,39.716208,-104.982418,
66,801 Santa Fe Drive,,,,,,
67,1547 Quince Street,,,,,,
68,2265 South Dexter Street,,,,,,
69,3323 Mariposa Street,,,,,,
70,4202 Lipan Street,80211,Denver,CO,39.774384,-105.001409,448661
71,295 South Broadway,,,,,,
72,138 Federal Boulevard,80260,Federal Heights,CO,39.874572,-105.019027,43902
73,6962 East 30th Avenue,,,,,,
