,summary,description,neighborhood_overview,availability_30,availability_60,availability_90,availability_365,price,cleaning_fee,security_deposit,accommodates,bedrooms,bathrooms,property_type,room_type,latitude,longitude,zipcode,price_bin,Log_Price,areas,Reservations_In_Next_90_Days,types,nlp_topic
3,"Great place for a few nights or months! Significant discounts for week or month+.  Ideal for traveling nurses, med students, or transitioning to Denver. Close to Denver Health Medical Center, downtown, professional sports venues and performing arts.  Cute 1890's neighborhood walkable to breweries, coffee shops, restaurants, shops and Mayan Theater on Broadway, and Santa Fe Arts District.   Easy access with major freeways/roads and RTD.  No pets in studio but my two dogs may be in the backyard.","Great place for a few nights or months! Significant discounts for week or month+.  Ideal for traveling nurses, med students, or transitioning to Denver. Close to Denver Health Medical Center, downtown, professional sports venues and performing arts.  Cute 1890's neighborhood walkable to breweries, coffee shops, restaurants, shops and Mayan Theater on Broadway, and Santa Fe Arts District.   Easy access with major freeways/roads and RTD.  No pets in studio but my two dogs may be in the backyard. This newly built, highly functional studio is equipped with full kitchen, including stove/oven, dishwasher, microwave, and refrigerator; and fully stocked with cooking and eating equipment. Significant cabinet and closet space.  Flooded with natural light.  It has everything you need for a comfortable stay for a few nights or a few months! For your convenience coffee, tea and paper products supplied to get you started but are not replenished throughout the stay. Guests may enjoy the courtyard if","Walking through the Baker historical neighborhood you will find a little bit of everything -- grand Victorian houses, quaint duplexes, small single-story homes, and newly-built condos.  It's an easy walk to restaurants, coffee shops, breweries, the shops and Mayan theater on Broadway, and the Santa Fe Arts District with gallery openings the first Friday of each month.",0,0,6,95,95,75,150,2,0,1.0,Guesthouse,Entire home/apt,39.719809999999995,-104.99649,80223,under_100,1.97772360528885,south,84,0,4
54,0,"30 day or longer rental only.  Our 2-story (Phone number hidden by Airbnb) cottage blends historic character with modern amenities. Enjoy the charming features of a turn of the century home with comfortable furnishings and updated features. Original stained glass and built-in storage accentuate the historic charm. The house features a newly updated cooking/entertaining kitchen with granite countertops, stainless steel appliances, gas stove, dishwasher, and everything you need to feed your hungry travelers. Three bedrooms include a large upstairs master with sitting area, and two main floor bedrooms, one with a queen bed and one with two twin beds. Sleeps 6 comfortably.  Three car off-street parking available. Street parking can accommodate oversized vehicles.  Three blocks to Highland Square -- a local's favorite hotspot with diverse eateries, neighborhood bars, eclectic boutiques, coffee shops, nail salons, day spa, flower shop and consignment shops. There is always something happenin",0,6,9,9,29,254,100,300,6,3,1.0,House,Entire home/apt,39.76013,-105.03131,80211,200_or_more,2.40483371661994,northwest,81,1,0
87,"Great size private bedroom with queen bed and closet space. Shared bathroom down the hall with towels, shampoo, conditioner, and soap. Beautiful home in historic neighborhood minutes from downtown, City Park, and Art by car, bus, or walk.","Great size private bedroom with queen bed and closet space. Shared bathroom down the hall with towels, shampoo, conditioner, and soap. Beautiful home in historic neighborhood minutes from downtown, City Park, and Art by car, bus, or walk. My beautiful home is a unique architectural footprint for a typical Denver home.  The living and dining room make a great common space.  Beautiful light warms the home and the sunsets of Denver still surprise and amaze me. The main floor, living, dining, bath, bedroom and porch are open for guests.  The laundry is in the basement.  Private areas are my studio and bedroom in the basement, and my housemates private bedroom. I have a fully stocked kitchen you are welcome to use with your own food. Please note: No cooking meat or fish allowed. (We are a vegetarian/vegan household.) Otherwise make yourself at home. I provide a small healthy breakfast of oatmeal, banana, and coffee.  I work part time from home as an artist, but also work part time in the ci","The neighborhood is filled with beautiful historic architecture homes and thoughtful gardens.  Primarily of homes, schools and churches with some exciting new pubs, coffee shops, and shops along the way to downtown. Close to City Park with the Zoo and Natural Science Museum, RiNo Arts district, Source a new local eatery/coffee/market, and many local breweries and coffee shops.",0,1,16,16,39,25,200,1,1,1.0,Bungalow,Private room,39.76493,-104.95783,80205,under_100,1.5910646070265002,central,74,8,0
89,"Renovated, 3 bedroom, 2.5 bath Victorian near downtown Denver. Take a short walk to the light rail station that goes right into downtown, or walk to one of several coffee shops within a mile. There is plenty of parking plus a couple of parks/playgrounds within 1 block. Enjoy a large kitchen and room for 6 people. We have 2 queen beds, a bunk bed, 2 toddler beds, and a pack n play.","Renovated, 3 bedroom, 2.5 bath Victorian near downtown Denver. Take a short walk to the light rail station that goes right into downtown, or walk to one of several coffee shops within a mile. There is plenty of parking plus a couple of parks/playgrounds within 1 block. Enjoy a large kitchen and room for 6 people. We have 2 queen beds, a bunk bed, 2 toddler beds, and a pack n play. Our space would be great for many types of people but especially for a family with babies or kids. Guests will have access to the entire house. We'll be available by phone/text. Our neighborhood is an eclectic mix of people in a fabulous location near downtown Denver. We love our neighborhood and hope you do too. Please do not expect a suburban environment. There are bus stops on the surrounding blocks, and the light rail station is just a few blocks away. We have toys for preschool-age and younger. We also have an apple TV if you want to log into netflix. Denver Short Term Rental License: (Phone number hidde",Our neighborhood is an eclectic mix of people in a fabulous location near downtown Denver. We love our neighborhood and hope you do too. Please do not expect a suburban environment.,2,6,6,13,135,150,0,7,3,2.5,House,Entire home/apt,39.76005,-104.96649,80205,100_200,2.13033376849501,central,84,1,4
91,"This listing is available for stays of 30 days or more only. Spacious home radiates Colorado style. Located on the edge of the urban core close to Cherry Creek and Lowry Town Center. This Hilltop location is close to Downtown, DIA, shopping, restaurants and bars. Mountain parks and trails are just 30+ minutes. Unique private apartment. We are unable to accept pets. Please review all information in this listing before booking. Thanks.","This listing is available for stays of 30 days or more only. Spacious home radiates Colorado style. Located on the edge of the urban core close to Cherry Creek and Lowry Town Center. This Hilltop location is close to Downtown, DIA, shopping, restaurants and bars. Mountain parks and trails are just 30+ minutes. Unique private apartment. We are unable to accept pets. Please review all information in this listing before booking. Thanks. Spacious home radiates Colorado style. Located on the edge of the urban core of Denver between Cherry Creek and Lowry Town Center. Close to Downtown, DIA, shopping, restaurants and bars. Mountain parks and trails are just 30+ minutes. 1,400+ SF of space on the 1st floor of a sprawling mid century ranch home with elegant stone courtyard entrance. Unique private apartment with free parking.  Comfortable queen bed in each of TWO BEDROOMS with lots of closet and storage space.  The BATHROOM has a large modern vanity cabinet and sink, tile shower over a large b","Quick access to all kinds of recreation, 25-35 minutes to Downtown and Tech Center employment centers. Hilltop is in the midst of the most desirable and vibrant neighborhoods in the city. Minutes to fantastic shopping, art galleries, entertainment, sports and museum venues and award winning restaurants.",14,19,19,222,85,200,0,4,2,1.0,Apartment,Entire home/apt,39.72061,-104.91187,80220,under_100,1.9294189257142902,east,71,2,4
104,"1930s private 1 BR house w/ loads of character & local charm located on a street that ends in a public frisbee golf park. Fenced front & back yard. Off street parking spot. Centrally located. 2 blocks from Light Rail station, 1 block from bus stops, 5 min. drive to downtown (cheap Lyft), walking distance to Sports Authority Field, & close to major highways. Pet friendly! Natural cleaning products! Please read entire listing, neighborhood, & amenities before booking.","1930s private 1 BR house w/ loads of character & local charm located on a street that ends in a public frisbee golf park. Fenced front & back yard. Off street parking spot. Centrally located. 2 blocks from Light Rail station, 1 block from bus stops, 5 min. drive to downtown (cheap Lyft), walking distance to Sports Authority Field, & close to major highways. Pet friendly! Natural cleaning products! Please read entire listing, neighborhood, & amenities before booking. Our brick cottage in Denver's Villa Park neighborhood sits on the solitary edge of a hilly park with bike/walking trails, a view of the mountains to the west, and a picturesque vantage of downtown from a nearby bridge. Don't be fooled by the green, the concrete jungle of downtown is a mere 5 min. drive and the Light Rail station is 2 blocks away. If you need to get some reps in or swim a few laps - Rude Recreation Center is a block away. No smoking of any kind indoors (please utilize the patio in back). Front room boasts a","Villa Park is located in West Denver - a couple miles west of downtown. The area is very urban and residential. Federal Blvd. is a busy byway (people cruise in their shiny, sometimes loud cars on Sundays) and there can be activity in the public park which lies right outside our fence. This is not a gentrified nor ""hip"" part of town. Many people in this neighborhood have lived here for generations - true Denverites! The house is on a park which means there is public activity - the parks in Denver are utilized - but can also feel too secluded if your aim is to be around a lot of houses/commerce. As far as businesses that are “walkable”: 7-11 & a liquor store are 2 blocks away; a Mexican restaurant & Hamburger Stand are 1 block away. We are no more than 10-15min. by motor to more pedestrian friendly neighborhoods (Baker, The Highlands) & 5 min to downtown.",10,10,10,10,72,60,100,3,1,1.0,Cottage,Entire home/apt,39.73447,-105.02558,80204,under_100,1.8573324964312699,central,80,4,4
109,"2 BR, clean, BSMT apartment in FANTASTIC location.  Just one block off of City Park and steps from local coffee shops, bars, restaurants, a microbrewery (Cerebral Brewing), the Denver Zoo, Denver Museum of Nature & Science, and many other attractions (walk score=82). Denver B-Cycle (bike share) station a block and a half away!  Car2Go's are also readily available in the neighborhood (be sure to register ahead of your trip) and downtown is a 2.5 mile $10 Uber/Lyft ride away.","2 BR, clean, BSMT apartment in FANTASTIC location.  Just one block off of City Park and steps from local coffee shops, bars, restaurants, a microbrewery (Cerebral Brewing), the Denver Zoo, Denver Museum of Nature & Science, and many other attractions (walk score=82). Denver B-Cycle (bike share) station a block and a half away!  Car2Go's are also readily available in the neighborhood (be sure to register ahead of your trip) and downtown is a 2.5 mile $10 Uber/Lyft ride away. This mother-in-law basement apartment with a private entrance was recently remodeled (brand new kitchen, paint) and has high ceilings with egress windows.  The master bedroom has a queen sized bed and the spare has a full sized bed (so 2 people can fit if they don't mind a little cuddling!).  Very clean and cozy!  Off street parking is available.  Unfortunately, no pets are allowed in the unit. Shared access to a beautiful back yard with outdoor seating and a grill. I'm a pretty busy guy so not a ton unless requeste","The City Park neighborhood encompasses City Park, the Denver Zoo, and the Denver Museum of Nature & Science. The neighborhood falls between York St. to the west and Colorado Blvd. to the east. Bounded by 23rd Ave. to the north and Colfax Ave. to the south, the City Park neighborhood attracts many tourists and locals alike. The City Park neighborhood was ranked one of the top 10 neighborhoods in the United States by REDFIN in 2015! Walking distance to many restaurants and bars.  Sprouts grocery store is 6 blocks away and the new Trader Joe's is less than a mile away.  The Cherry Creek Mall is ~2 miles away.",18,18,18,18,88,70,0,6,2,1.0,Guest suite,Entire home/apt,39.74322,-104.95003999999999,80206,under_100,1.94448267215017,central,72,3,4
125,"This great private room is nestled in a three-story spacious townhome with vaulted ceilings and lots of windows. It's close to downtown Denver, Denver Tech Center and all of the major medical centers, as well as universities. Public transport's near!","This great private room is nestled in a three-story spacious townhome with vaulted ceilings and lots of windows. It's close to downtown Denver, Denver Tech Center and all of the major medical centers, as well as universities. Public transport's near! Please note: I am listing this as a long-term rental. I am requesting that a minimum of four weeks be booked at one time. However, other terms may be negotiated, just contact me & we'll work it out! Your private room and attached private bathroom are part of a lovely town home and a great complex close to Denver and other great attractions. ALSO: YOUR BED is a standard/full, not a Queen, FYI  Clean Guarantee! Are you one of those people that are leery of comforters and blankets in hotel rooms and other places? Well - have no fear here!  The mattress topper is hypoallergenic and sealed, as well as all of the pillow case covers. Of course all sheets and linens are cleaned in between guests, but I also guarantee that every blanket comforter e","My neighborhood is a great neighborhood! It's quiet, yet a  short distance from Denver and Colorado's main attractions. It's a perfect place if you are working in the medical community because I'm basically right in the middle of all of them. One of my favorite things is the Cherry Creek Trail which is right across the road from our complex. The trail takes you all the way to Cherry Creek reservoir  if you go east, and if you go West it leads you into the heart of downtown. A great ride on a bike!",15,16,16,142,43,40,200,2,1,1.0,Townhouse,Private room,39.6878,-104.90343999999999,80231,under_100,1.6334684555795902,southeast,74,5,2
150,"Friendly, family home, in a nice southwest Denver neighborhood, spacious upper room, view of the mountains, private bath. Golden doodle, 4 cats live on lower floors. Busy family, good energy, near skiing and biking, welcome world travelers! Guest pets considered with deposit.","Friendly, family home, in a nice southwest Denver neighborhood, spacious upper room, view of the mountains, private bath. Golden doodle, 4 cats live on lower floors. Busy family, good energy, near skiing and biking, welcome world travelers! Guest pets considered with deposit. Mountain view,  friendly family, laughter, good with other languages, great home cooking if interested. 20 minutes from downtown. Near bus, bike trails, skiing, hiking, some transport available by arrangement. Welcome to socialize with us in the living room, kitchen, patio and yard. We are also respectful of a closed door and the need for privacy. Non smokers, non smoking household. We are very inclusive if guests want to join our activities ... usually homework, piano, board games and movies in the living room! There's a nice park and playground a couple blocks down the hill. Grocery stores and fast food very close. Nice walking and bike trail by Bear Creek, 3 blocks down the hill. The bus stop is about 8 blocks","There's a nice park and playground a couple blocks down the hill. Grocery stores and fast food very close. Nice walking and bike trail by Bear Creek, 3 blocks down the hill.",0,0,12,286,65,30,0,2,1,1.0,House,Private room,39.66564,-105.06181000000001,80227,under_100,1.8129133566428601,southwest,78,1,4
157,"Stay close to downtown at a Historic Denver Bungalow built-in 1929. This property is in south-central Denver and is close to Downtown, and is 20 minutes from Dicks Sporting Good Park and Red Rocks. This is a family-friendly home. The backyard is fenced in with a swing set.  The best feature of this house is its location and layout.  The house is in walking distance to two LIght Rail Stations.  There is a cat Phobbie that lives in the house.  She will not bother you.","Stay close to downtown at a Historic Denver Bungalow built-in 1929. This property is in south-central Denver and is close to Downtown, and is 20 minutes from Dicks Sporting Good Park and Red Rocks. This is a family-friendly home. The backyard is fenced in with a swing set.  The best feature of this house is its location and layout.  The house is in walking distance to two LIght Rail Stations.  There is a cat Phobbie that lives in the house.  She will not bother you. Just blocks from the bus stop, shops, restaurants, and bars on Broadway, and 3.9 miles from downtown. Walking distance to Light Rail at Pearl & Louisiana station.  4 blocks to Pearl St. My house is very welcoming and it is one you do not have to walk on eggshells in..This is a family home you can relax in with ease.  There is a backyard with a grill and swing set for kids.   I have one cat. She does not go outside. Leave the laundry room door open so she can get to her food. 3-bedroom house located in south central Denver.","The Neighborhood: Platt Park At the turn of the 20th century, the Platt Park neighborhood—then a separate city from Denver—was a bustling borough of five-and-dime shops and sprawling family homes connected to the city by a clanking trolley line that ran up Pearl Street. As the Mile High City grew, the neighborhood was incorporated, and Denverites migrated south to make it their home. Today, the neighborhood’s storied history is still visible on Pearl Street, where visitors can glimpse trolley tracks peeking through the asphalt overlay, and new shops and purveyors occupy the original, historic buildings. Platt Park is a pedestrian friendly neighborhood.  One block from Antique Row on Broadway with bars and retail.  5 blocks from South Pearl St. (URL HIDDEN) 15 minute walk to the Light Rail at Louisiana/Pearl St. Station. (URL HIDDEN) 5 Blocks from The Sushi Den on Pearl St. (URL HIDDEN) Grandma's House (URL HIDDEN) Styled to look like your grandmma's house, this brewery offers beers bre",6,14,18,287,120,125,0,5,3,2.0,House,Entire home/apt,39.68912,-104.98683999999999,80210,100_200,2.0791812460476202,south,72,1,4
