,0,1,2
0,"(43, 122)","(82, 484)","(108, 252)"
1,"(46, 199)","(61, 505)","(75, 572)"
2,"(136, 643)","(190, 615)","(210, 401)"
3,"(57, 378)","(97, 85)","(117, 404)"
4,"(84, 489)","(118, 89)","(123, 471)"
5,"(72, 715)","(90, 7)","(95, 652)"
6,"(26, 170)","(76, 132)","(83, 518)"
7,"(38, 376)","(90, 5)","(98, 602)"
8,"(57, 673)","(78, 122)","(78, 572)"
9,"(153, 79)","(155, 68)","(161, 628)"
10,"(82, 666)","(97, 600)","(120, 11)"
11,"(68, 666)","(72, 600)","(110, 248)"
12,"(70, 442)","(84, 610)","(93, 130)"
13,"(27, 400)","(31, 108)","(57, 373)"
14,"(17, 109)","(53, 341)","(93, 187)"
15,"(105, 292)","(109, 664)","(110, 153)"
16,"(1, 49)","(30, 258)","(80, 141)"
17,"(27, 332)","(33, 583)","(73, 247)"
18,"(36, 405)","(83, 266)","(102, 410)"
19,"(37, 509)","(46, 238)","(55, 252)"
20,"(56, 426)","(83, 384)","(141, 716)"
21,"(31, 484)","(87, 122)","(94, 8)"
22,"(67, 334)","(92, 354)","(93, 129)"
23,"(164, 63)","(219, 1)","(223, 164)"
24,"(35, 150)","(69, 596)","(77, 72)"
25,"(29, 578)","(40, 194)","(43, 534)"
26,"(38, 307)","(89, 58)","(94, 190)"
27,"(116, 697)","(121, 611)","(131, 352)"
28,"(46, 692)","(61, 119)","(77, 321)"
29,"(34, 309)","(82, 294)","(95, 262)"
30,"(30, 301)","(96, 310)","(126, 338)"
31,"(63, 129)","(91, 354)","(98, 22)"
32,"(66, 486)","(124, 480)","(142, 494)"
33,"(44, 172)","(117, 478)","(117, 549)"
34,"(6, 494)","(107, 486)","(149, 32)"
35,"(71, 365)","(73, 232)","(127, 147)"
36,"(102, 542)","(120, 59)","(126, 244)"
37,"(59, 649)","(87, 56)","(88, 656)"
38,"(49, 420)","(67, 447)","(74, 181)"
39,"(47, 582)","(52, 447)","(95, 38)"
40,"(17, 590)","(56, 708)","(69, 317)"
41,"(53, 565)","(57, 364)","(66, 53)"
42,"(49, 398)","(95, 290)","(133, 60)"
43,"(21, 289)","(56, 472)","(73, 159)"
44,"(170, 598)","(175, 298)","(238, 243)"
45,"(16, 162)","(55, 232)","(76, 365)"
46,"(11, 411)","(44, 415)","(56, 634)"
47,"(46, 651)","(146, 579)","(163, 401)"
48,"(73, 107)","(103, 383)","(121, 18)"
49,"(1, 16)","(31, 258)","(79, 141)"
50,"(164, 366)","(184, 622)","(187, 438)"
51,"(56, 259)","(64, 118)","(120, 614)"
52,"(116, 188)","(141, 143)","(210, 684)"
53,"(40, 565)","(66, 41)","(78, 334)"
54,"(88, 283)","(96, 325)","(133, 97)"
55,"(61, 98)","(63, 135)","(76, 541)"
56,"(45, 660)","(79, 473)","(87, 37)"
57,"(6, 65)","(25, 545)","(71, 260)"
58,"(23, 190)","(89, 26)","(92, 395)"
59,"(25, 333)","(41, 123)","(96, 272)"
60,"(37, 290)","(107, 710)","(132, 444)"
61,"(58, 277)","(58, 463)","(59, 114)"
62,"(90, 87)","(92, 538)","(112, 156)"
63,"(114, 164)","(148, 252)","(153, 122)"
64,"(50, 327)","(66, 704)","(143, 569)"
65,"(6, 57)","(18, 545)","(72, 91)"
66,"(45, 629)","(78, 481)","(91, 381)"
67,"(27, 161)","(68, 617)","(71, 586)"
68,"(4, 79)","(52, 80)","(64, 628)"
69,"(35, 658)","(92, 262)","(127, 113)"
70,"(49, 251)","(135, 614)","(140, 51)"
71,"(36, 423)","(68, 537)","(87, 436)"
72,"(77, 24)","(88, 174)","(106, 150)"
73,"(75, 657)","(93, 506)","(122, 139)"
74,"(39, 573)","(45, 279)","(56, 25)"
75,"(21, 548)","(76, 560)","(77, 77)"
76,"(7, 154)","(32, 282)","(55, 345)"
77,"(55, 548)","(70, 268)","(77, 75)"
78,"(73, 198)","(74, 90)","(83, 665)"
79,"(4, 68)","(52, 80)","(68, 628)"
80,"(31, 589)","(48, 146)","(52, 68)"
81,"(25, 393)","(58, 336)","(76, 655)"
82,"(7, 139)","(67, 506)","(79, 490)"
83,"(32, 102)","(61, 620)","(119, 470)"
84,"(43, 92)","(63, 650)","(69, 181)"
85,"(56, 130)","(81, 378)","(89, 185)"
86,"(44, 119)","(60, 320)","(85, 28)"
87,"(90, 62)","(119, 156)","(148, 274)"
88,"(8, 630)","(42, 313)","(58, 96)"
