,Unnamed: 0,address,zipcode,city,state,latitude,longitude,amount
0,0,2540 Monaco Parkway,80207.0,Denver,CO,39.754117,-104.912051,564340.0
2,2,219 Galapago Street,80223.0,Denver,CO,39.71976,-104.996683,453275.0
4,4,3507 Osage Street,80211.0,Denver,CO,39.765899,-105.00561299999998,1058536.0
6,6,828 East 22nd Avenue,80205.0,Denver,CO,39.749252,-104.97612099999999,501833.0
8,8,2093 Ogden Street,80205.0,Denver,CO,39.749255,-104.97473500000001,390161.0
9,9,2060 Emerson Street,80205.0,Denver,CO,39.748622999999995,-104.975422,839426.0
10,10,4435 East 16th Avenue,80220.0,Denver,CO,39.741707,-104.934555,695510.0
11,11,994 South Pennsylvania Street,80209.0,Denver,CO,39.698572,-104.981301,817826.0
12,12,90 Galapago Street,80223.0,Denver,CO,39.7178,-104.99600000000001,535897.0
15,15,3854 Lowell Boulevard,80211.0,Denver,CO,39.770609,-105.03426599999999,744948.0
17,17,686 South Gilpin Street,80209.0,Denver,CO,39.704095,-104.96716799999999,842210.0
18,18,2105 West 31st Avenue,80211.0,Denver,CO,39.760999999999996,-105.011969,753343.0
20,20,2807 West 23rd Avenue,80211.0,Denver,CO,39.751595,-105.022407,630850.0
21,21,2810 Arapahoe Street,80205.0,Denver,CO,39.759132,-104.98058300000001,1212765.0
22,22,1203 West 37th Avenue,80211.0,Denver,CO,39.768214,-105.00084199999999,411080.0
23,23,1585 Krameria Street,80220.0,Denver,CO,39.741726,-104.91666200000002,730005.0
26,26,1565 Gilpin Street,80218.0,Denver,CO,39.741271000000005,-104.96755700000001,782000.0
27,27,4586 Zuni Street,80211.0,Denver,CO,39.779871,-105.01551699999999,551989.0
29,29,808 South Logan Street,80209.0,Denver,CO,39.701681,-104.98241499999999,591349.0
30,30,2206 Gaylord Street,80205.0,Denver,CO,39.749646000000006,-104.96063799999999,834375.0
32,32,2130 Meade Street,80211.0,Denver,CO,39.749368,-105.03545600000001,663148.0
33,33,604 Inca Street,80204.0,Denver,CO,39.725988,-104.997222,403865.0
34,34,24 Perry Street,80219.0,Denver,CO,39.717076,-105.039345,489785.0
35,35,1116 Emerson Street,80218.0,Denver,CO,39.734120000000004,-104.976095,896526.0
36,36,2421 West Dunkeld Place,80211.0,Denver,CO,39.759488,-105.01647,483587.0
37,37,1324 Saint Paul Street,80206.0,Denver,CO,39.73733,-104.95028899999998,874411.0
40,40,3303 East 10th Avenue,80206.0,Denver,CO,39.732265000000005,-104.94807,744498.0
43,43,4675 Perry Street,80212.0,Denver,CO,39.781663,-105.03956399999998,473901.0
44,44,4137 Raritan Street,80211.0,Denver,CO,39.773672,-105.009126,563296.0
45,45,717 Inca Street,80204.0,Denver,CO,39.727727,-104.997849,430021.0
47,47,3352 West 30th Avenue,80211.0,Denver,CO,39.760071,-105.03126200000001,1256138.0
48,48,1019 East Cedar Avenue,80209.0,Denver,CO,39.713115,-104.975248,439534.0
49,49,3696 Lafayette Street,80205.0,Denver,CO,39.768029,-104.97050300000001,404884.0
51,51,1550 East 37th Avenue,80205.0,Denver,CO,39.768012,-104.968746,399889.0
53,53,3930 West 14th Avenue,80204.0,Denver,CO,39.738276,-105.038886,531550.0
54,54,1137 Columbine Street,80206.0,Denver,CO,39.73449,-104.95776599999999,285584.0
55,55,2356 South Marion Street,80210.0,Denver,CO,39.673798,-104.971954,594420.0
58,58,3722 Zenobia Street,80212.0,Denver,CO,39.767947,-105.051767,877482.0
59,59,200 Grant Street,80203.0,Denver,CO,39.745567,-104.983956,530249.0
60,60,1435 Vrain Street,80204.0,Denver,CO,39.739212,-105.04668899999999,418014.0
62,62,2425 West 35th Avenue,80211.0,Denver,CO,39.765887,-105.016479,473477.0
63,63,1221 Gaylord Street,80206.0,Denver,CO,39.73554,-104.96136899999999,754105.0
66,66,1417 Lafayette Street,80218.0,Denver,CO,39.738827,-104.970822,837117.0
67,67,1115 Madison Street,80206.0,Denver,CO,39.734018,-104.946491,733765.0
68,68,3126 West 41st Avenue,80211.0,Denver,CO,39.772719,-105.028281,644292.0
69,69,2731 South Race Street,80210.0,Denver,CO,39.666942,-104.964601,746452.0
70,70,4666 Osceola Street,80212.0,Denver,CO,39.781293,-105.03785,410294.0
72,72,1910 West 38th Avenue,80211.0,Denver,CO,39.769155,-105.010433,562414.0
74,74,3422 Josephine Street,80205.0,Denver,CO,39.764945000000004,-104.958221,436123.0
76,76,3019 Williams Street,80205.0,Denver,CO,39.759959,-104.96630400000001,343128.0
79,79,62 West Ellsworth Avenue,80223.0,Denver,CO,39.716328999999995,-104.989066,573191.0
80,80,2785 South High Street,80210.0,Denver,CO,39.666274,-104.965616,750838.0
81,81,3317 West 17th Avenue,80204.0,Denver,CO,39.744082,-105.03048700000001,619503.0
82,82,411 Williams Street,80218.0,Denver,CO,39.722308,-104.966269,1202263.0
83,83,50 Pennsylvania Street,80203.0,Denver,CO,39.717538,-104.981118,873469.0
84,84,3582 Clayton Street,80210.0,Denver,CO,39.669686,-104.954727,1207398.0
86,86,724 East 23rd Avenue,80205.0,Denver,CO,39.750531,-104.977301,491246.0
87,87,3344 Meade Street,80211.0,Denver,CO,39.764811,-105.03546599999999,656874.0
89,89,570 South Pennsylvania Street,80209.0,Denver,CO,39.706208000000004,-104.981278,581957.0
91,91,4595 Perry Street,80212.0,Denver,CO,39.780046,-105.03956399999998,648214.0
92,92,4317 Umatilla Street,80211.0,Denver,CO,39.77577,-105.01267800000001,664057.0
95,95,687 South Shoshone Street,80223.0,Denver,CO,39.704266,-105.01009099999999,399253.0
97,97,828 25th Street,80205.0,Denver,CO,39.754441,-104.983015,549521.0
99,99,4657 East Kentucky Circle,80246.0,Denver,CO,39.701152,-104.93484299999999,400321.0
100,100,3544 Mariposa Street,80211.0,Denver,CO,39.766498999999996,-105.00263999999999,355703.0
102,102,1025 Adams Street,80206.0,Denver,CO,39.732613,-104.948697,576716.0
103,103,1200 South Emerson Street,80210.0,Denver,CO,39.694590000000005,-104.976601,543058.0
104,104,3549 Lipan Street,80211.0,Denver,CO,39.766581,-105.00209199999999,1088964.0
105,105,2001 West Gill Place,80223.0,Denver,CO,39.705011,-105.011204,453760.0
106,106,975 Washington Street,80203.0,Denver,CO,39.731814,-104.978973,294617.0
108,108,3975 Shoshone Street,80211.0,Denver,CO,39.771549,-105.00995,593649.0
109,109,3763 High Street,80205.0,Denver,CO,39.769290000000005,-104.96506799999999,422440.0
111,111,1238 Madison Street,80206.0,Denver,CO,39.735983000000004,-104.945851,682389.0
114,114,1715 East 29th Avenue,80205.0,Denver,CO,39.758418,-104.96673700000001,797834.0
117,117,333 Marion Street,80218.0,Denver,CO,39.720757,-104.972053,1646636.0
118,118,3058 Newton Street,80211.0,Denver,CO,39.761437,-105.036651,795699.0
120,120,2930 West 39th Avenue,80211.0,Denver,CO,39.77088,-105.02361599999999,632990.0
121,121,2614 East 13th Avenue,80206.0,Denver,CO,39.736606,-104.95579199999999,712812.0
123,123,1050 Pennsylvania Street,80203.0,Denver,CO,39.733011,-104.98068899999998,1251794.0
124,124,649 South Pennsylvania Street,80209.0,Denver,CO,39.704739000000004,-104.98190600000001,679416.0
125,125,2544 West 43rd Avenue,80211.0,Denver,CO,39.775252,-105.018695,773142.0
126,126,3236 Arapahoe Street,80205.0,Denver,CO,39.763187,-104.975388,548028.0
127,127,8379 East 29th Avenue,80238.0,Denver,CO,39.7577,-104.891052,440606.0
128,128,1991 West Kentucky Avenue,80223.0,Denver,CO,39.699319,-105.01170900000001,394565.0
129,129,2521 West 37th Avenue,80211.0,Denver,CO,39.768294,-105.01793700000002,723950.0
130,130,2736 South Ingalls Way,80227.0,Denver,CO,39.66605,-105.06271000000001,439874.0
131,131,2613 South Milwaukee Street,80210.0,Denver,CO,39.668974,-104.95267199999999,1826883.0
132,132,4120 Hooker Street,80211.0,Denver,CO,39.77342,-105.028478,564177.0
134,134,3940 Humboldt Street,80205.0,Denver,CO,39.769798,-104.968868,441235.0
135,135,56 East Florida Avenue,80210.0,Denver,CO,39.691089,-104.94971100000001,956941.0
136,136,4059 Shoshone Street,80211.0,Denver,CO,39.77276,-105.009929,614856.0
141,141,2432 West 37th Avenue,80211.0,Denver,CO,39.7678,-105.016714,467341.0
143,143,3949 Tejon Street,80211.0,Denver,CO,39.771421000000004,-105.01152900000001,1022261.0
144,144,2716 Marion Street,80205.0,Denver,CO,39.768532,-104.971737,275933.0
145,145,4400 Vrain Street,80212.0,Denver,CO,39.776672999999995,-105.045969,870237.0
146,146,135 Fox Street,80223.0,Denver,CO,39.719085,-104.99552299999999,466216.0
147,147,3938 Tejon Street,80211.0,Denver,CO,39.771423,-105.01085,789906.0
148,148,91 Bannock Street,80223.0,Denver,CO,39.718094,-104.991227,856170.0
149,149,3030 Downing Street,80205.0,Denver,CO,39.759972,-104.97303500000001,889746.0
150,150,2394 Ivy Street,80207.0,Denver,CO,39.76534,-104.91965900000001,428958.0
151,151,3344 West 33rd Avenue,80211.0,Denver,CO,39.763642,-105.031085,605306.0
152,152,2439 Williams Street,80205.0,Denver,CO,39.752704,-104.966275,694657.0
