,address,zipcode,city,state,latitude,longitude,amount
0,2540 Monaco Parkway,80207,Denver,CO,39.754117,-104.912051,564340
1,2578 Magnolia Street,,,,,,
2,219 Galapago Street,80223,Denver,CO,39.71976,-104.996683,453275
3,3107 Green Court,,,,,,
4,3507 Osage Street,80211,Denver,CO,39.765899,-105.005613,1058536
5,4653 East 25th Avenue,,,,,,
6,828 East 22nd Avenue,80205,Denver,CO,39.749252,-104.976121,501833
7,1035 Pearl Street,80203,Denver,CO,39.732781,-104.980154,
8,2093 Ogden Street,80205,Denver,CO,39.749255,-104.974735,390161
9,2060 Emerson Street,80205,Denver,CO,39.748623,-104.975422,839426
10,4435 East 16th Avenue,80220,Denver,CO,39.741707,-104.934555,695510
11,994 South Pennsylvania Street,80209,Denver,CO,39.698572,-104.981301,817826
12,90 Galapago Street,80223,Denver,CO,39.7178,-104.996,535897
13,1570 Humboldt Street,80218,Denver,CO,39.74134,-104.969342,
14,1776 Race Street,80206,Denver,CO,39.744433,-104.963125,
15,3854 Lowell Boulevard,80211,Denver,CO,39.770609,-105.034266,744948
16,3546 Shoshone Street,,,,,,
17,686 South Gilpin Street,80209,Denver,CO,39.704095,-104.967168,842210
18,2105 West 31st Avenue,80211,Denver,CO,39.761,-105.011969,753343
19,2820 Yosemite Street,,,,,,
20,2807 West 23rd Avenue,80211,Denver,CO,39.751595,-105.022407,630850
21,2810 Arapahoe Street,80205,Denver,CO,39.759132,-104.980583,1212765
22,1203 West 37th Avenue,80211,Denver,CO,39.768214,-105.000842,411080
23,1585 Krameria Street,80220,Denver,CO,39.741726,-104.916662,730005
24,2244 Dexter Street,,,,,,
25,697 West Ellsworth Avenue,,,,,,
26,1565 Gilpin Street,80218,Denver,CO,39.741271,-104.967557,782000
27,4586 Zuni Street,80211,Denver,CO,39.779871,-105.015517,551989
28,1135 Elizabeth Street,80206,Denver,CO,39.734453,-104.95661,
29,808 South Logan Street,80209,Denver,CO,39.701681,-104.982415,591349
30,2206 Gaylord Street,80205,Denver,CO,39.749646,-104.960638,834375
31,4930 East Donald Avenue,,,,,,
32,2130 Meade Street,80211,Denver,CO,39.749368,-105.035456,663148
33,604 Inca Street,80204,Denver,CO,39.725988,-104.997222,403865
34,24 Perry Street,80219,Denver,CO,39.717076,-105.039345,489785
35,1116 Emerson Street,80218,Denver,CO,39.73412,-104.976095,896526
36,2421 West Dunkeld Place,80211,Denver,CO,39.759488,-105.01647,483587
37,1324 Saint Paul Street,80206,Denver,CO,39.73733,-104.950289,874411
38,2785 North Speer Boulevard,80211,Denver,CO,39.756564,-105.018027,
39,550 East 3rd Avenue,80203,Denver,CO,39.720661,-104.980585,
40,3303 East 10th Avenue,80206,Denver,CO,39.732265,-104.94807,744498
41,4101 West Florida Avenue,80247,Denver,CO,39.690716,-104.883516,
42,2800 Welton Street,80205,Denver,CO,39.755618,-104.976415,
43,4675 Perry Street,80212,Denver,CO,39.781663,-105.039564,473901
44,4137 Raritan Street,80211,Denver,CO,39.773672,-105.009126,563296
45,717 Inca Street,80204,Denver,CO,39.727727,-104.997849,430021
46,980 East 22nd Avenue,80205,Denver,CO,39.749255,-104.974735,
47,3352 West 30th Avenue,80211,Denver,CO,39.760071,-105.031262,1256138
48,1019 East Cedar Avenue,80209,Denver,CO,39.713115,-104.975248,439534
49,3696 Lafayette Street,80205,Denver,CO,39.768029,-104.970503,404884
50,1424 East 10th Avenue,80218,Denver,CO,39.731878,-104.970217,
51,1550 East 37th Avenue,80205,Denver,CO,39.768012,-104.968746,399889
52,1815 South Marion Street,80210,Denver,CO,39.68366,-104.972529,
53,3930 West 14th Avenue,80204,Denver,CO,39.738276,-105.038886,531550
54,1137 Columbine Street,80206,Denver,CO,39.73449,-104.957766,285584
55,2356 South Marion Street,80210,Denver,CO,39.673798,-104.971954,594420
56,832 28th Street,,,,,,
57,1350 East 33rd Avenue,,,,,,
58,3722 Zenobia Street,80212,Denver,CO,39.767947,-105.051767,877482
59,200 Grant Street,80203,Denver,CO,39.745567,-104.983956,530249
60,1435 Vrain Street,80204,Denver,CO,39.739212,-105.046689,418014
61,4500 West 14th Avenue,,,,,,
